код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2576175,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i Healthy браслет, зеленый","Classic-i Healthy браслет, зеленый Фитнес-браслет Classic-i Healthy – функции: сбор данных о пройденных шагах, дистанции, израсходованных калориях за день/тренировку, качестве сна, установки желаемого результата тренировки и интеллектуальный будильник. Яркий цвет добавит индивидуальности.",****,?
2576174,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i Healthy браслет, черный","Classic-i Healthy браслет, черный Фитнес-браслет Classic-i Healthy – функции: сбор данных о пройденных шагах, дистанции, израсходованных калориях за день/тренировку, качестве сна, установки желаемого результата тренировки и интеллектуальный будильник. Яркий цвет добавит индивидуальности.",****,?
2576173,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i Smart браслет, черный","Classic-i Smart браслет, черный Classic-i Smart Bracelet – следит за вашим здоровьем и жизненной активностью. (количество шагов, дистанция, мониторинг сна и сожженные калории) исходя из вашего роста, веса и возраста. Функция будильника. Совместим с IOS и Android.Ккласс защиты IP67.",****,?
2576625,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Classic Solution DC2,"Classic Solution DC2 Разрешение 5 Мп, А4, авто фокусировка. USB 2.0, HDMI",*,?
2576197,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Classic Solution DC3,"Classic Solution DC3 Ультралегкая (0,45 кг), разрешение 3 Мп (2048x1536), питание USB, LED подсветка, русифицированное ПО, конвертация снимков в pdf, распознавание текста, обработка изображений, добавление комментариев, мультиэкранный режим, запись экрана на видео",**** /рез.:*,?
2577996,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Classic Solution DC6 h,"Classic Solution DC6 h Портативная, 1.28 кг, разрешение 5 Мп, гибкая шея, размер сканирования А3 / А4, HDMI, подключение к ПК по USB, рус. ПО, конвертация в pdf, выбор разрешения, сканирование, распознавание текста, запись видео (AVI), Windows XP/Vista/7/8/10",**** /рез.:****,?
2579015,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Classic Solution DC6d,"Classic Solution DC6d Портативная, 1.28 кг, разрешение 10 Мп, гибкая шея, размер сканирования А3, подключение к ПК по USB, рус. ПО, конвертация в pdf, распознавание текста, редактирование изображений, мультиэкранный режим, запись экрана на видео",****,?
2577270,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Classic Solution DC6e,"Classic Solution DC6e Портативная, 1.28 кг, разрешение 5 Мп, гибкая шея, размер сканирования А3 / А4, подключение к ПК по USB, рус. ПО, конвертация в pdf, распознавание текста, редактирование изображений, мультиэкранный режим, запись экрана на видео",**** /рез.:****,?
2577269,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Classic Solution DC8h,"Classic Solution DC8h Портативная, 0.72 кг, разрешение 5 Мп, размер А4, разъем HDMI, пульт ДУ, подключение к ПК / ТВ / проектору, рус. ПО, память 32 снимка, конвертация в pdf, распознавание текста, редактирование изображений, мультиэкранный режим, запись экрана на видео",**** /рез.:****,?
2576751,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Classic Solution DC9s,"Classic Solution DC9s Ультралегкая (0,5 кг), складная, разрешение 5 Мп (2592x1944), питание USB, LED подсветка, русифицированное ПО, конвертация снимков в pdf, распознавание текста, обработка изображений, добавление комментариев, мультиэкранный режим, запись видео",**** /рез.:****,?
2575080,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Боковая подсветка для Classic Solution DC,Боковая подсветка для Classic Solution DC Боковая LED подсветка для документ-камер Classic Solution  DC7 и DC7H. Магнитная защелка обеспечивает гибкость в установке  и надежность крепления,****,?
2575081,0,USD,Документ камеры,Документ камеры,Документ камеры Документ камеры Планшет нижней подсветки для Classic Solution DC,"Планшет нижней подсветки для Classic Solution DC Планшет нижней подсветки для документ-камер Classic Solution DC6, DC6H, DC7, DC7H.  Для демонстрации  пленок, слайдов, негативов. Питание от камеры.",****,?
2575440,0,USD,Интерактивные доски,Classic Interactive Device,Интерактивные доски Classic Interactive Device Classic Solution PID2 (интерактивная приставка),"Classic Solution PID2 (интерактивная приставка) Интерактивная приставка, технология инфракрасная, рабочая дистанция 1.5 - 4.5 м , крепления к проектору и к потолку,подключение по USB, работает как от маркера (в комплекте, так и дистанционно от лазерной указки. Русифицирована.",,?
2575667,0,USD,Интерактивные доски,Classic Interactive Device,Интерактивные доски Classic Interactive Device IR указка-маркер для Classic Solution PID2,IR указка-маркер для Classic Solution PID2 Телескопическая указка-маркер для Интерактивной приставки Classic Solution  PID 2,**** /рез.:*,?
2574259,0,USD,Интерактивные доски,Classic Interactive Device,Интерактивные доски Classic Interactive Device Scola (интерактивное устройство),"Scola (интерактивное устройство) Интерактивная приставка, технология инфракрасная + ультразвук, разрешение 9600x9600, отклик 3 мс, активная область 120 - 210 см,  подключение по USB, ОS - Windows 2000/XP/Vista/7, Linux, Mac, 100 гр, 227x43x11 мм",*,?
2575108,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution CS-IR-102,"Classic Solution CS-IR-102 Инфракрасная, активная зона 97"" (2145x1147 мм), формат 16:9, одновременная работа двух пользователей, USB 2.0, ОС - XP, Vista, Win7, Linux , Mac OS X 10.5, 32 кг, 2277x1271x45 мм, настенное крепление в комплекте",/рез.:*,?
2578597,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution CS-IR-85T,"Classic Solution CS-IR-85T Инфракрасная, активная зона 79.6"" (165x118 см), формат 4:3, работа до 10 касаний = одновременная работа до 6 пользователей + жесты, подключение и питание по USB 2.0, Windows: XP / Vista / 7 / 8 / 10, 15.4 кг, 170x123x3 см, настенное крепление в комплекте",****,?
2578422,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution CS-IR-87Ts,"Classic Solution CS-IR-87Ts Инфракрасная, активная зона 81"" (168x120 см), формат 4:3, работа до 10 касаний = одновременная работа до 6 пользователей + жесты, подключение и питание по USB 2.0, Windows: XP / Vista / 7 / 8 / 10, 15.6 кг, 173x125x3 см, настенное крепление в комплекте",**** /рез.:*,?
2578598,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution CS-IR-89T,"Classic Solution CS-IR-89T Инфракрасная, активная зона 85.5"" (191x103см), формат 16:9, работа до 10 касаний = одновременная работа до 6 пользователей + жесты, подключение и питание по USB 2.0, Windows: XP / Vista / 7 / 8 / 10, 15.8 кг, 197x109x3 см, настенное крепление в комплекте",**** /рез.:***,?
2578599,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution CS-IR-96Ts,"Classic Solution CS-IR-96Ts Инфракрасная, активная зона 94"" (209x113 см), формат 16:9, работа до 10 касаний = одновременная работа до 6 пользователей + жесты, подключение и питание по USB 2.0, Windows: XP / Vista / 7 / 8 / 10, 19.2 кг, 215x119x3 см, настенное крепление в комплекте",****,?
2578600,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution CS-Q82-DVT,"Classic Solution CS-Q82-DVT Оптическая, 4 видеокамеры, активная зона 81.9"" (170x121 см), формат 4:3, работа до 10 касаний = одновременная работа до 6 пользователей + жесты, подключение и питание по USB 2.0, Windows: XP / 7 / 10, 16 кг, 175x126x3 см, настенное крепление в комплекте",* /рез.:**,?
2578423,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution Dual Touch V102,"Classic Solution Dual Touch V102 На цифровых камерах (аналог DViT Smart), рабочая поверхность 99"" (222x121 см), формат 16:9, режимы работы: один и два маркера одновременно, поверхность магнитная, для обычных маркеров, Windows XP / 7 / 10, USB 2.0, 23.5 кг, 227x128x4 см (102"")",/рез.:*,?
2577300,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution Dual Touch V66,"Classic Solution Dual Touch V66 На цифровых камерах (аналог DViT Smart), рабочая поверхность 63"" (130x94 см), формат 4:3, режимы работы: один и два маркера одновременно, поверхность магнитная, для обычных маркеров, Windows XP / 7 / 10, USB 2.0, 11.25 кг, 135x101x4 см (66"")",**** /рез.:****,?
2576433,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution Dual Touch V83,"Classic Solution Dual Touch V83 На цифровых камерах (аналог DViT Smart), рабочая 80"" (166x117 см), формат 4:3, режимы работы: один и два маркера одновременно, поверхность магнитная, для обычных маркеров, Windows XP / 7, USB 2.0, вес 15.6 кг, габариты 171х124х4 см (83"")",**** /рез.:****,?
2578982,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Classic Solution VA-83g,"Classic Solution VA-83g Инфракрасная,с двусторонними створками (белыми/зелеными меловыми 791 x 1172 мм x 2 ),активная интерактивная  зона(1663 x 1172 мм), 4:3, до 10 касаний = одновременная работа до 6 пользователей,подключение и питание по USB 2.0,настенное крепление.",,?
2572258,0,USD,Интерактивные доски,ClassicBoard,Интерактивные доски ClassicBoard Электронный маркер-указка Classic Solution для досок CS IP,Электронный маркер-указка Classic Solution для досок CS IP Электронный маркер-указка Classic Solution для интерактивных досок серии CS IP,,?
2578294,0,USD,Интерактивные доски,TRACEBOARD,"Интерактивные доски TRACEBOARD Trace Board TI-690, серая рамка","Trace Board TI-690, серая рамка Инфракрасная, активная зона 63.4"" (132x92 см), формат 4:3, до 10 касаний, питание по USB 2.0/3.0. Windows XP/VISTA/7/8/10, USB кабель 5м, стилус 3шт, настенное крепление, 13 кг, 1426x1038x38 мм, антибликовый эффект, горячие клавиши слева и справа",**** /рез.:**,?
2578412,0,USD,Интерактивные доски,TRACEBOARD,"Интерактивные доски TRACEBOARD Trace Board TI-830, зеленая рамка","Trace Board TI-830, зеленая рамка Инфракрасная, активная зона 77"" (160x112 см), формат 4:3, до 10 касаний, питание по USB 2.0/3.0. Windows XP/VISTA/7/8/10, USB кабель 5м, стилус 3 шт, настенное крепление, 14.25 кг, 172x124x4 см, антибликовый эффект, горячие клавиши слева и справа",,?
2574006,0,USD,Интерактивные доски,Аксессуары для интерактивных досок,"Интерактивные доски Аксессуары для интерактивных досок Маркер для белой доски ""CROWN""","Маркер для белой доски ""CROWN"" Стираемый маркер CROWN Multi marker может писать на всех видах поверхностей. Чернила изготовлены на спиртовой основе и не выцветают со временем. Цвет чернил - черный. Круглый наконечник. Ширина линии письма - 3 мм.",****,?
2571464,0,USD,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Маркер для сенсорной доски,"Маркер для сенсорной доски Дополнительный маркер для любой сенсорной доски, в том числе TraceBoard. Не нуждается в элементах питания.",,?
2574077,0,USD,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Маркер красный для доски,Маркер красный для доски Стираемый маркер для всех досок Classic Solution  и  TraceBoard. Цвет  красный.,****,?
2574076,0,USD,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Маркер синий для доски,Маркер синий для доски Стираемый маркер для всех досок Classic Solution  и  TraceBoard. Цвет  синий.,****,?
2577459,0,USD,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Напольная мобильная стойка для Интерактивной доски,"Напольная мобильная стойка для Интерактивной доски Напольная универсальная стойка для интерактивная досок CS DT V 66/83/98/, TraceBoard четвертой серии",*,?
2569418,0,USD,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Напольная стойка для TB-660 / TB-680 / TB-6100,Напольная стойка для TB-660 / TB-680 / TB-6100 Напольная стойка универсальная на колесиках с регулируемой высотой для моделей TraceBoard TB-660 / TB-680 / TB-6100/TS-6060 / TS-6080 / TS-6010  . Не подходит для моделей четвертой серии TB-460 / TB-480 / TB-4100/TS-4060 / TS-4080 / TS-4010,* /рез.:*,?
2578595,18200.0,USD,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Универсальная мобильная стойка для интерактивной доски UMS-3,"Универсальная мобильная стойка для интерактивной доски UMS-3 Мобильная стойка для интерактивных досок 66""- 78"" толщиной не более 50 мм! С креплением  для УКФ- проектора . Регулируемая штанга в пределах 300-500мм.Каучуковые колеса в комплекте.Упаковка: 3- места,Общий вес 55 кг.",,?
2578748,18200.0,USD,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Универсальная мобильная стойка для интерактивной доски UMS-4,"Универсальная мобильная стойка для интерактивной доски UMS-4 Мобильная стойка для интерактивных досок 60""- 105"" толщиной не более 50 мм! С площадкой под оигинальное крепление к проекторам SONY, BenQ, EPSON,VIEWSONIC,HITACHI . .Каучуковые колеса в комплекте.Упаковка: 2- места,Общий вес 50 кг.",,?
2575034,0,USD,Интерактивные системы голосования,TRACEBOARD,Интерактивные системы голосования TRACEBOARD Пульт M52 для системы голосования TraceVote,Пульт M52 для системы голосования TraceVote Пульт для интерактивной системы голосования TraceVote,**,?
2575746,0,USD,Интерактивные системы голосования,TRACEBOARD,Интерактивные системы голосования TRACEBOARD Пульт S50 для системы голосования,Пульт S50 для системы голосования Пульт для интерактивной системы голосования TraceVote,***,?
2575033,0,USD,Интерактивные системы голосования,TRACEBOARD,Интерактивные системы голосования TRACEBOARD Система голосования TraceVote 12,"Система голосования TraceVote 12 Интерактивная система голосования, комплект для 12 пользователей",**,?
2575166,0,USD,Интерактивные системы голосования,TRACEBOARD,Интерактивные системы голосования TRACEBOARD Система голосования TraceVote 15,"Система голосования TraceVote 15 Интерактивная система голосования, комплект для 15 пользователей",**,?
2575035,0,USD,Интерактивные системы голосования,TRACEBOARD,Интерактивные системы голосования TRACEBOARD Система голосования TraceVote 20,"Система голосования TraceVote 20 Интерактивная система голосования, комплект для 20 пользователей",**,?
2575032,0,USD,Интерактивные системы голосования,TRACEBOARD,Интерактивные системы голосования TRACEBOARD Система голосования TraceVote 24,"Система голосования TraceVote 24 Интерактивная система голосования, комплект для 24 пользователей",**,?
2575031,0,USD,Интерактивные системы голосования,TRACEBOARD,Интерактивные системы голосования TRACEBOARD Система голосования TraceVote 5,"Система голосования TraceVote 5 Интерактивная система голосования, комплект для 5 пользователей",**,?
2578339,0,USD,Кабель,CS,"Кабель CS Акустический кабель CC-TC2x2,5-100M, прозрачный, на катушке, 1 м","Акустический кабель CC-TC2x2,5-100M, прозрачный, на катушке, 1 м Акустический кабель Cablexpert CC-TC2x2,5-100M, прозрачный, 100 м, на катушке",****,?
2577380,0,USD,Кабель,CS,"Кабель CS Кабель CCP-mUSB2-AMBM-6, AM/microBM 5P, 1.8m,  черный, экран, пакет","Кабель CCP-mUSB2-AMBM-6, AM/microBM 5P, 1.8m,  черный, экран, пакет Кабель USB 2.0 Pro Gembird/Cablexpert CCP-mUSB2-AMBM-6, AM/microBM 5P, 1.8м, экран, черный, пакет",,?
2575422,0,USD,Кабель,CS,"Кабель CS Кабель CS HDMI (M) to HDMI (M), rev1.4, 10м","Кабель CS HDMI (M) to HDMI (M), rev1.4, 10м Кабель HDMI - HDMI с позолоченными контактами, 28AWG, OD7.3, 1080p, стандарт HDMI 1.4, длина 10 метров",,?
2571493,0,USD,Кабель,CS,"Кабель CS Кабель CS HM8002-1,8 HDMI 1,8м","Кабель CS HM8002-1,8 HDMI 1,8м Кабель HDMI - HDMI   (28AWG, OD7.3, 1080p) с ферритами , контакты золоченые , длина 1,8м,  в пластиковой упаковке",/рез.:*,?
2571494,0,USD,Кабель,CS,Кабель CS Кабель CS HM8002-3 HDMI 3м,"Кабель CS HM8002-3 HDMI 3м Кабель HDMI - HDMI  (28AWG, OD7.3, 1080p) с ферритами , контакты золоченые , длина 3 м,  в пластиковой упаковке",*,?
2571495,0,USD,Кабель,CS,Кабель CS Кабель CS HM8002-5 HDMI 5м,"Кабель CS HM8002-5 HDMI 5м Кабель HDMI - HDMI  (30AWG, OD 5.5,1080p)  с ферритами , контакты золоченые , длина 5 м,  в пластиковой упаковке",*,?
2571497,0,USD,Кабель,CS,Кабель CS Кабель CS HM8026-3 HDMI 3м,"Кабель CS HM8026-3 HDMI 3м Кабель HDMI длиной 3м (28AWG, OD7.3, 1080p)",*,?
2571498,0,USD,Кабель,CS,Кабель CS Кабель CS HM8026-5 HDMI 5м,"Кабель CS HM8026-5 HDMI 5м Кабель HDMI длиной 5м (30AWG, OD 5.5,1080p)",* /рез.:*,?
2575656,0,USD,Кабель,CS,"Кабель CS Кабель CS VGA 15-pin (M) to (M), 15 метров","Кабель CS VGA 15-pin (M) to (M), 15 метров Кабель соединительный VGA (D-Sub) 15-pin (M) to (M), с ферритовыми кольцами, 15 метров",,?
2578045,0,USD,Кабель,CS,"Кабель CS Кабель CS-HDMI-DVI-7.5MC, 19M/19M, 7.5м, черный, поз.разъемы, экран, пакет","Кабель CS-HDMI-DVI-7.5MC, 19M/19M, 7.5м, черный, поз.разъемы, экран, пакет Кабель HDMI-DVI Cablexpert CC-HDMI-DVI-7.5MC, 19M/19M, 7.5м, single link, черный, позол.разъемы, экран, пакет",,?
2578083,0,USD,Кабель,CS,"Кабель CS Кабель DisplayPort CS-DP2-6, v1.2, 1.8м, 20M/20M, черный, экран, пакет","Кабель DisplayPort CS-DP2-6, v1.2, 1.8м, 20M/20M, черный, экран, пакет Кабель DisplayPort Cablexpert CC-DP2-6, v1.2, 1.8м, 20M/20M, черный, экран, пакет",,?
2577112,0,USD,Кабель,CS,"Кабель CS Кабель KCP-HDMI-5, 4.5м, v1.4, 19M/19M, мет, позол.разъемы, экран, арм. сетка","Кабель KCP-HDMI-5, 4.5м, v1.4, 19M/19M, мет, позол.разъемы, экран, арм. сетка Кабель HDMI Konoos KCP-HDMI-5, 4.5м, v1.4, 19M/19M, металл, позол.разъемы, экран, армирующая сетка, блистер",,?
2578819,0,USD,Кабель,CS,"Кабель CS Кабель питания  PC-189-VDE-5M, 5м, C13-C14, VDE, 10А, черн.","Кабель питания  PC-189-VDE-5M, 5м, C13-C14, VDE, 10А, черн. Кабель питания Cablexpert PC-189-VDE-5M, 5м, C13-C14, VDE, 10А, черный, с заземлением",,?
2578609,0,USD,Кабель,CS,"Кабель CS Переходник HDMI-HDMI  A-HDMI270-FML, угловой 270","Переходник HDMI-HDMI  A-HDMI270-FML, угловой 270 Переходник HDMI-HDMI Cablexpert A-HDMI270-FML, 19F/19M, угловой соединитель 270 градусов, золотые разъемы, пакет",****,?
2578607,0,USD,Кабель,CS,Кабель CS Переходник HDMI-HDMI CS-A-HDMI90-FML угловой-90,"Переходник HDMI-HDMI CS-A-HDMI90-FML угловой-90 Переходник HDMI-HDMI Cablexpert A-HDMI90-FML, 19F/19M, угловой  соединитель 90 градусов, золотые разъемы, пакет",***,?
2578890,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ DVI-D-1.8M, dual link, 25M/25M, 1.8м, экран, феррит.кольца, пакет","DVI-D-1.8M, dual link, 25M/25M, 1.8м, экран, феррит.кольца, пакет Кабель DVI-D dual link Cablexpert CC-DVI2-6C, 25M/25M, 1.8м, экран, феррит.кольца, пакет",****,?
2578760,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-1 M, Гарнизон, v1.4, M/M,  черный, пакет","HDMI-1 M, Гарнизон, v1.4, M/M,  черный, пакет Кабель HDMI Гарнизон GCC-HDMI-1M, 1м, v1.4, M/M,  черный, пакет",****,?
2578761,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-1,8M, v1.4, 19M/19M, черный, позол.разъемы, экран, пакет","HDMI-1,8M, v1.4, 19M/19M, черный, позол.разъемы, экран, пакет Кабель HDMI Gembird/Cablexpert CC-HDMI4L-6, 1.8м, v1.4, 19M/19M, серия Light, черный, позол.разъемы, экран, пакет",*,?
2578763,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-10M, v1.4, 19M/19M, 10м, черный, позол.разъемы, экран, пакет","HDMI-10M, v1.4, 19M/19M, 10м, черный, позол.разъемы, экран, пакет Кабель HDMI Gembird/Cablexpert CC-HDMI4-10M, 10м, v1.4, 19M/19M, черный, позол.разъемы, экран, пакет",/рез.:*,?
2578764,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-10M, v2.0, 19M/19M, 10м, черный, позол.разъемы, экран, пакет","HDMI-10M, v2.0, 19M/19M, 10м, черный, позол.разъемы, экран, пакет Кабель HDMI Gembird/Cablexpert CC-HDMI4-10M, 10м, v2.0, 19M/19M, черный, позол.разъемы, экран, пакет",,?
2578765,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-10M, Гарнизон, 1.4, M/M, 10м, черный, позол.разъемы, экран, пакет","HDMI-10M, Гарнизон, 1.4, M/M, 10м, черный, позол.разъемы, экран, пакет Кабель HDMI Гарнизон GCC-HDMI-10М, 10м, v1.4, M/M, черный, пакет",**** /рез.:****,?
2578766,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-15M, Retail, v1.4, 19M/19M, 15м, черн, поз.раз-мы, экран, коробка","HDMI-15M, Retail, v1.4, 19M/19M, 15м, черн, поз.раз-мы, экран, коробка Кабель HDMI Cablexpert CC-S-HDMI03-15M серия Silver, длина 15 м, v1.4, M/M, позол.разъемы, феррит. кольца, коробка",,?
2578769,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-15M, v1.4, 19M/19M, 15м, черный, позол.разъемы, экран, пакет","HDMI-15M, v1.4, 19M/19M, 15м, черный, позол.разъемы, экран, пакет Кабель HDMI Gembird/Cablexpert CC-HDMI4-15M, 15м, v1.4, 19M/19M, черный, позол.разъемы, экран, пакет",****,?
2578770,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-20M, v1.4, 19M/19M, 20м, черный, позол.разъемы, экран, пакет","HDMI-20M, v1.4, 19M/19M, 20м, черный, позол.разъемы, экран, пакет Кабель HDMI Cablexpert CC-HDMI4-20M, 20м, v1.4, 19M/19M, черный, позол.разъемы, экран, пакет",***,?
2578771,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-30M, v1.4, 19M/19M, 30м, черный, поз.раз-мы, экран, пакет","HDMI-30M, v1.4, 19M/19M, 30м, черный, поз.раз-мы, экран, пакет Кабель HDMI Cablexpert CC-HDMI4-30M, 30м, v1.4, 19M/19M, черный, позол.разъемы, экран, пакет  !!!ОДНОНАПРАВЛЕННЫЙ!!!",**,?
2578762,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-4.5M, v1.4, 19M/19M, 4.5м, угловой , черн, позол., экр, пакет","HDMI-4.5M, v1.4, 19M/19M, 4.5м, угловой , черн, позол., экр, пакет Кабель HDMI Cablexpert CC-HDMI490-15, 4.5м, v1.4, 19M/19M, углов. разъем, черный, позол.разъемы, экран, пакет",***,?
2578774,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-7,5M, v1.4, 19M/19M, 7,5м, черный, позол.разъемы, экран, пакет","HDMI-7,5M, v1.4, 19M/19M, 7,5м, черный, позол.разъемы, экран, пакет Кабель HDMI Gembird/Cablexpert CC-HDMI4-7,5M, 7,5м, v1.4, 19M/19M, черный, позол.разъемы, экран, пакет",**,?
2578889,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ HDMI-7,5M, v1.4, Гарнизон, 7,5м, черный, позол.разъемы, экран, пакет","HDMI-7,5M, v1.4, Гарнизон, 7,5м, черный, позол.разъемы, экран, пакет Кабель HDMI Гарнизон GCC-HDMI-7.5M, 7.5м, v1.4, M/M, черный, пакет",***,?
2578775,0,USD,Кабель,CS-СОЛ,"Кабель CS-СОЛ USB 2.0 GCC-USB2-AMAF-1M, AM/AF, 1м, удлинитель,1 м","USB 2.0 GCC-USB2-AMAF-1M, AM/AF, 1м, удлинитель,1 м Кабель удлинитель USB 2.0 Гарнизон GCC-USB2-AMAF-1M, AM/AF, 1м, пакет",,?
